"","MAX_TEMPERATURE","MIN_TEMPERATURE","LOCAL_TIME","LOCAL_YEAR","LOCAL_MONTH","LOCAL_DAY"
"123",0.6,-2.2,1874-05-03,1874,5,3
"124",4.4,-2.2,1874-05-04,1874,5,4
"125",4.4,-2.2,1874-05-05,1874,5,5
"126",6.7,-3.3,1874-05-06,1874,5,6
"127",8.3,-2.2,1874-05-07,1874,5,7
"128",8.3,-1.7,1874-05-08,1874,5,8
"129",10,0,1874-05-09,1874,5,9
"130",7.2,-1.7,1874-05-10,1874,5,10
"131",3.3,-1.1,1874-05-11,1874,5,11
"132",3.9,-1.1,1874-05-12,1874,5,12
"133",6.7,-2.8,1874-05-13,1874,5,13
"134",8.3,-2.8,1874-05-14,1874,5,14
"135",8.3,0.6,1874-05-15,1874,5,15
"136",10,-0.6,1874-05-16,1874,5,16
"137",10,-0.6,1874-05-17,1874,5,17
"138",12.2,0,1874-05-18,1874,5,18
"139",8.3,2.8,1874-05-19,1874,5,19
"140",23.3,5.6,1874-05-20,1874,5,20
"141",17.8,6.1,1874-05-21,1874,5,21
"142",18.3,6.1,1874-05-22,1874,5,22
"143",18.9,6.1,1874-05-23,1874,5,23
"144",13.3,4.4,1874-05-24,1874,5,24
"145",14.4,0.6,1874-05-25,1874,5,25
"146",14.4,1.1,1874-05-26,1874,5,26
"147",16.1,2.8,1874-05-27,1874,5,27
"148",21.1,2.8,1874-05-28,1874,5,28
"149",13.9,1.1,1874-05-29,1874,5,29
"150",11.1,0,1874-05-30,1874,5,30
"151",13.9,-1.1,1874-05-31,1874,5,31
"152",7.2,1.1,1874-06-01,1874,6,1
"153",3.3,-1.1,1874-06-02,1874,6,2
"154",11.7,-2.2,1874-06-03,1874,6,3
"155",19.4,1.7,1874-06-04,1874,6,4
"156",19.4,7.2,1874-06-05,1874,6,5
"157",19.4,6.1,1874-06-06,1874,6,6
"158",11.7,4.4,1874-06-07,1874,6,7
"159",15.6,2.2,1874-06-08,1874,6,8
"160",15,2.8,1874-06-09,1874,6,9
"161",7.8,1.7,1874-06-10,1874,6,10
"162",11.1,-0.6,1874-06-11,1874,6,11
"163",13.9,0.6,1874-06-12,1874,6,12
"164",3.9,1.7,1874-06-13,1874,6,13
"165",8.9,1.7,1874-06-14,1874,6,14
"166",10,2.2,1874-06-15,1874,6,15
"167",11.1,1.1,1874-06-16,1874,6,16
"168",12.2,2.8,1874-06-17,1874,6,17
"169",8.3,1.1,1874-06-18,1874,6,18
"170",8.3,0.6,1874-06-19,1874,6,19
"171",10,2.8,1874-06-20,1874,6,20
"172",10,5.6,1874-06-21,1874,6,21
"173",16.7,5.6,1874-06-22,1874,6,22
"174",21.7,12.2,1874-06-23,1874,6,23
"175",18.3,10,1874-06-24,1874,6,24
"176",13.9,8.3,1874-06-25,1874,6,25
"177",10.6,5,1874-06-26,1874,6,26
"178",17.8,2.8,1874-06-27,1874,6,27
"179",17.2,6.1,1874-06-28,1874,6,28
"180",11.1,3.9,1874-06-29,1874,6,29
"181",15,2.2,1874-06-30,1874,6,30
"182",8.9,4.4,1874-07-01,1874,7,1
"183",10.6,3.9,1874-07-02,1874,7,2
"184",12.8,0.6,1874-07-03,1874,7,3
"185",16.7,4.4,1874-07-04,1874,7,4
"186",17.2,5,1874-07-05,1874,7,5
"187",8.9,5.6,1874-07-06,1874,7,6
"188",15.6,5.6,1874-07-07,1874,7,7
"189",15,6.7,1874-07-08,1874,7,8
"190",25,8.9,1874-07-09,1874,7,9
"191",18.3,10,1874-07-10,1874,7,10
"192",17.2,7.2,1874-07-11,1874,7,11
"193",25,10,1874-07-12,1874,7,12
"194",23.9,10,1874-07-13,1874,7,13
"195",22.8,10.6,1874-07-14,1874,7,14
"196",21.7,12.8,1874-07-15,1874,7,15
"197",18.3,11.1,1874-07-16,1874,7,16
"198",27.8,13.3,1874-07-17,1874,7,17
"199",16.7,12.2,1874-07-18,1874,7,18
"200",18.3,12.2,1874-07-19,1874,7,19
"201",27.8,8.9,1874-07-20,1874,7,20
"202",25,10,1874-07-21,1874,7,21
"203",25,10,1874-07-22,1874,7,22
"204",18.9,10,1874-07-23,1874,7,23
"205",19.4,9.4,1874-07-24,1874,7,24
"206",16.1,6.1,1874-07-25,1874,7,25
"207",28.3,7.2,1874-07-26,1874,7,26
"208",26.7,11.1,1874-07-27,1874,7,27
"209",27.8,12.8,1874-07-28,1874,7,28
"210",26.1,17.8,1874-07-29,1874,7,29
"211",26.7,16.1,1874-07-30,1874,7,30
"212",21.1,12.2,1874-07-31,1874,7,31
"213",18.9,11.1,1874-08-01,1874,8,1
"214",23.9,11.1,1874-08-02,1874,8,2
"215",22.8,16.7,1874-08-03,1874,8,3
"216",22.8,15,1874-08-04,1874,8,4
"217",22.2,10.6,1874-08-05,1874,8,5
"218",16.1,10.6,1874-08-06,1874,8,6
"219",17.2,10,1874-08-07,1874,8,7
"220",23.9,9.4,1874-08-08,1874,8,8
"221",23.3,10,1874-08-09,1874,8,9
"222",23.9,11.1,1874-08-10,1874,8,10
"223",25.6,17.2,1874-08-11,1874,8,11
"224",25,12.8,1874-08-12,1874,8,12
"225",26.7,14.4,1874-08-13,1874,8,13
"226",18.3,11.1,1874-08-14,1874,8,14
"227",17.8,9.4,1874-08-15,1874,8,15
"228",18.9,8.3,1874-08-16,1874,8,16
"229",16.7,5.6,1874-08-17,1874,8,17
"230",21.1,7.8,1874-08-18,1874,8,18
"231",21.1,12.2,1874-08-19,1874,8,19
"232",21.1,7.8,1874-08-20,1874,8,20
"233",20.6,8.9,1874-08-21,1874,8,21
"234",21.1,12.2,1874-08-22,1874,8,22
"235",17.8,8.9,1874-08-23,1874,8,23
"236",17.2,8.3,1874-08-24,1874,8,24
"237",20,9.4,1874-08-25,1874,8,25
"238",19.4,5.6,1874-08-26,1874,8,26
"239",13.3,9.4,1874-08-27,1874,8,27
"240",15.6,9.4,1874-08-28,1874,8,28
"241",23.9,11.1,1874-08-29,1874,8,29
"242",23.3,11.7,1874-08-30,1874,8,30
"243",13.9,11.1,1874-08-31,1874,8,31
"244",17.2,11.7,1874-09-01,1874,9,1
"245",13.3,11.1,1874-09-02,1874,9,2
"246",14.4,9.4,1874-09-03,1874,9,3
"247",17.8,6.1,1874-09-04,1874,9,4
"248",20,4.4,1874-09-05,1874,9,5
"249",21.7,10.6,1874-09-06,1874,9,6
"250",21.1,10.6,1874-09-07,1874,9,7
"251",19.4,8.9,1874-09-08,1874,9,8
"252",12.8,6.7,1874-09-09,1874,9,9
"253",17.2,3.9,1874-09-10,1874,9,10
"254",16.1,7.2,1874-09-11,1874,9,11
"255",12.8,6.1,1874-09-12,1874,9,12
"256",8.3,3.9,1874-09-13,1874,9,13
"257",17.2,1.1,1874-09-14,1874,9,14
"258",17.2,8.9,1874-09-15,1874,9,15
"259",17.2,5,1874-09-16,1874,9,16
"260",15.6,6.1,1874-09-17,1874,9,17
"261",10,4.4,1874-09-18,1874,9,18
"262",11.7,4.4,1874-09-19,1874,9,19
"263",21.7,6.7,1874-09-20,1874,9,20
"264",22.8,9.4,1874-09-21,1874,9,21
"265",20.6,15.6,1874-09-22,1874,9,22
"266",17.8,7.2,1874-09-23,1874,9,23
